"cat","Rmax","Rmean","Rmin","Rsd","Gmax","Gmean","Gmin","Gsd","Bmax","Bmean","Bmin","Bsd","Rse","Gse","Bse"
"Arable",225.203333333333,179.737173333333,134.2924,27.1184500047832,164.482,142.1472,112.8852,15.7092504496201,84.8732,63.71724,43.4688,13.1055344339032,8.5756068628519,4.96770117548237,4.14433387648995
"Open",189.7564,175.72484,164.2264,10.1072470500901,180.3592,168.50732,158.4624,8.73491541710622,149.9728,141.11372,131.7392,7.29950116785767,3.19619215523027,2.76222278869754,2.30830494734893
"Forest",125.9376,110.004385454545,87.5354545454546,12.9410347245463,120.5036,106.117156363636,83.3763636363636,12.6136225940169,101.3328,89.0174781818182,73.3631818181818,9.6458447822126,4.0923145008896,3.98877769428548,3.05028394682426
